model,split,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,tn,fp,fn,tp,selected
xgboost,validation,0.29,0.7328222434487979,0.6823352858049168,0.7054220224262989,0.9466564103857454,0.4180141612240882,0.8084268474111933,0.7991482836511312,225165,313489,42302,750708,False
xgboost,validation,0.3,0.7356908349253265,0.6866906907014769,0.7090353091505764,0.9432277020466324,0.4301536793563215,0.8095342458044026,0.7921960794915234,231704,306950,45021,747989,False
xgboost,validation,0.31,0.7383656838361629,0.6908170303387097,0.7125509982607764,0.9397548580724077,0.44187920260501173,0.8105318511984747,0.7853850520852107,238020,300634,47775,745235,False
xgboost,validation,0.32,0.7407649377020029,0.6946780318604582,0.7159801670750294,0.9359629765072319,0.4533930872136845,0.8113244464848852,0.7784696439942809,244222,294432,50782,742228,False
xgboost,validation,0.33,0.7430620637037572,0.6984294657021813,0.7193994987712596,0.9321004779258774,0.46475845347848527,0.812052832074969,0.7715722584676015,250344,288310,53845,739165,False
xgboost,validation,0.34,0.7453967367143663,0.7022648255789623,0.7229711941594597,0.9280790910581204,0.47645056009980435,0.8127849947929263,0.7644480890074373,256642,282012,57034,735976,False
xgboost,validation,0.35,0.7476450516046089,0.7060377997519354,0.7265941895314771,0.9238698124866017,0.48820578701726897,0.8134420827300747,0.7571864974948636,262974,275680,60372,732638,False
xgboost,validation,0.36,0.7495982470052506,0.709518026542207,0.7301115509680469,0.9193553675237387,0.4996806855606753,0.8138774603461663,0.7498565704261736,269155,269499,63952,729058,False
xgboost,validation,0.37,0.751424533515962,0.7128988428329655,0.7336641785836033,0.9145975460586878,0.5112001396072432,0.8142001325782771,0.7423636893390525,275360,263294,67725,725285,False
xgboost,validation,0.38,0.753218529599058,0.7162498676583984,0.7372733441245238,0.9097968499766712,0.5227028853401255,0.8144995501206264,0.7348520347475038,281556,257098,71532,721478,False
xgboost,validation,0.39,0.7547286702952096,0.7193095640116686,0.7407673937665646,0.9047439502654443,0.5338751777578928,0.8145854727710252,0.727323859472059,287574,251080,75539,717471,False
xgboost,validation,0.4,0.7561449434692235,0.7222728806268163,0.7442711099101843,0.8996078233565781,0.5449379378970545,0.814600272105115,0.7197904276153745,293533,245121,79612,713398,False
xgboost,validation,0.41,0.7574530812577347,0.7251573131584953,0.7478315614971796,0.8942396691088385,0.5560749572081521,0.814508695649677,0.7120887851590191,299532,239122,83869,709141,False
xgboost,validation,0.42,0.758820543320237,0.7281329404570316,0.7515653523962261,0.8887958537723358,0.5674700271417273,0.8144403397699816,0.7042377056074205,305670,232984,88186,704824,False
xgboost,validation,0.43,0.7601249264078627,0.7310526276876719,0.7553556658172371,0.8832587230930253,0.5788465322823185,0.8143154184243553,0.6963385658844874,311798,226856,92577,700433,False
xgboost,validation,0.44,0.7610973939372094,0.7336367633679857,0.7590088468545123,0.877405076859056,0.5898684498769154,0.8139239173665863,0.6883943697509282,317735,220919,97219,695791,False
xgboost,validation,0.45,0.762009786252388,0.7361737333587954,0.7627327602096622,0.8714366779737961,0.6009107887437947,0.8134692611529223,0.6803735777193046,323683,214971,101952,691058,False
xgboost,validation,0.46,0.76275546984825,0.7385653711850222,0.7664769058561467,0.8652110313867416,0.6119197109833028,0.8128567468243757,0.67221311081474,329613,209041,106889,686121,False
xgboost,validation,0.47,0.7632856336132838,0.7407269273622221,0.7701376622965427,0.8588315405858691,0.622622314138575,0.8120700057471676,0.6640849343377909,335378,203276,111948,681062,False
xgboost,validation,0.48,0.7637009035312211,0.742754501598651,0.7737705368395388,0.852418002295053,0.6330910009022489,0.811192453242275,0.6560311009383748,341017,197637,117034,675976,False
xgboost,validation,0.49,0.7639021554986843,0.7445976170600488,0.7774099126513532,0.8456652501229492,0.6435299839971484,0.8101024072189389,0.6477872796741521,346640,192014,122389,670621,False
xgboost,validation,0.5,0.7640215549868435,0.746339554399684,0.7810431503488047,0.8389124979508455,0.6537666108485224,0.808944196656566,0.6396253108892334,352154,186500,127744,665266,False
xgboost,validation,0.51,0.7639224308834661,0.7478375742921053,0.7845583653978778,0.8320487761818892,0.6636263724023214,0.8076060175444394,0.6315497002246813,357465,181189,133187,659823,False
xgboost,validation,0.52,0.7637752466087542,0.7492487956339698,0.788040062323451,0.8253010680823697,0.67319652318557,0.8062402834342255,0.6236603227240505,362620,176034,138538,654472,False
xgboost,validation,0.53,0.763323931562316,0.7503838196609268,0.7914582151548977,0.818130918903923,0.6826367204179307,0.8045735686670863,0.6155719460764878,367705,170949,144224,648786,False
xgboost,validation,0.54,0.7627637301901982,0.7514077696542676,0.7948825083348683,0.8108611492919383,0.691954390016597,0.8027923276534198,0.6074738072066227,372724,165930,149989,643021,False
xgboost,validation,0.55,0.7621885100145382,0.7523976728646634,0.7983404547965591,0.8036569526235483,0.7011383931057785,0.8009898818639591,0.5994687849187182,377671,160983,155702,637308,False
xgboost,validation,0.56,0.7612986459046727,0.7530793286481876,0.8016731258603087,0.7961110200375784,0.7100476372587969,0.7988823917222075,0.5913713969890303,382470,156184,161686,631324,False
xgboost,validation,0.57,0.7602232995710629,0.7536022713849129,0.8050284739947817,0.7882662261509943,0.7189383166188313,0.7965591765062682,0.5831035456391402,387259,151395,167907,625103,False
xgboost,validation,0.58,0.7590893799036393,0.7540769276056706,0.8084632429409828,0.7803192897945801,0.7278345654167611,0.7941419930775776,0.5747726153143736,392051,146603,174209,618801,False
xgboost,validation,0.59,0.757640065361833,0.7542075736824952,0.8116743679267041,0.7721781566436741,0.7362369907213164,0.7914338077537494,0.5665257902894424,396577,142077,180665,612345,False
xgboost,validation,0.6,0.7561456944094006,0.7543120007074092,0.8149984797565458,0.763912182696309,0.7447118187185094,0.7886288722603221,0.5581753355200711,401142,137512,187220,605790,True
xgboost,validation,0.61,0.7542705967871776,0.7540657956523771,0.8182072817649816,0.7551380184360853,0.752993572868669,0.7854085499769492,0.5496003496377465,405603,133051,194178,598832,False
