model,recall,precision,threshold
MLP,0.9210824637386275,0.665840179865941,0.040448952466249466
MLP,0.9204171470834261,0.6661851197322038,0.0406947135925293
MLP,0.9198454915107532,0.6665972316492611,0.04093768075108528
MLP,0.9192512280905735,0.6669877112567139,0.041175805032253265
MLP,0.9186795725179006,0.6673908809996973,0.04139900580048561
MLP,0.9180885387902218,0.6677919277201835,0.04164481163024902
MLP,0.9173973845950127,0.66812420174669,0.04189452528953552
MLP,0.9166836225522969,0.6684408228630642,0.042115919291973114
MLP,0.9160183058970955,0.6687857237177189,0.042326100170612335
MLP,0.9153303813943875,0.6691260146285952,0.04256192967295647
MLP,0.9146553756616832,0.6694702901017436,0.0427861288189888
MLP,0.9139739105439771,0.6698059394504576,0.04301673546433449
MLP,0.9133085938887758,0.6701447475685821,0.04325328394770622
MLP,0.9125948318460599,0.6704678924552074,0.04350900650024414
MLP,0.9119456636533636,0.6708282155389305,0.043756335973739624
MLP,0.9113061845381701,0.6711981731249554,0.04399281367659569
MLP,0.9106860835779825,0.6715929471224726,0.04422222450375557
MLP,0.9100304560002842,0.6719560821123322,0.04445831477642059
MLP,0.909216573490038,0.6722143689468758,0.044680893421173096
MLP,0.908518959909827,0.6725513495162112,0.04491478577256203
MLP,0.907818116637115,0.672878738913426,0.045162737369537354
MLP,0.9070526795143834,0.6731735378715245,0.04540606960654259
MLP,0.9063550659341724,0.6735211105351074,0.045661166310310364
MLP,0.905712357126478,0.6738990952455333,0.04589725285768509
MLP,0.9050276623162709,0.6742532519092785,0.04614580050110817
MLP,0.904320359658557,0.6745817021020297,0.04640824720263481
MLP,0.9035743006908312,0.6748755282811324,0.04666998237371445
MLP,0.9028605386481153,0.675212188842031,0.04691007360816002
MLP,0.9021403172203974,0.675543248243588,0.047167569398880005
MLP,0.9014233254851806,0.67588085724664,0.047424234449863434
MLP,0.9007806166774861,0.6762685521278118,0.04765569046139717
MLP,0.9000636249422692,0.6766030488944783,0.04789722338318825
MLP,0.8994112270570719,0.6769771563176868,0.04815270006656647
MLP,0.8987297619393657,0.6773385585278583,0.04840455204248428
MLP,0.8979481763541293,0.6776286446159733,0.048647113144397736
MLP,0.8972408736964154,0.67797065161421,0.048896197229623795
